time_s,index,name,x,y,z,vx,vy,vz
0,0,sat_0,7.07814e+06,0,0,0,4516.19,5993.19
0,1,sat_1,5.72633e+06,2.50381e+06,3.32266e+06,-4410.91,3653.68,4848.59
0,2,sat_2,2.18726e+06,4.05124e+06,5.37618e+06,-7137,1395.58,1852
0,3,sat_3,-2.18726e+06,4.05124e+06,5.37618e+06,-7137,-1395.58,-1852
0,4,sat_4,-5.72633e+06,2.50381e+06,3.32266e+06,-4410.91,-3653.68,-4848.59
0,5,sat_5,-7.07814e+06,5.21666e-10,6.92275e-10,-9.1901e-13,-4516.19,-5993.19
0,6,sat_6,-5.72633e+06,-2.50381e+06,-3.32266e+06,4410.91,-3653.68,-4848.59
0,7,sat_7,-2.18726e+06,-4.05124e+06,-5.37618e+06,7137,-1395.58,-1852
0,8,sat_8,2.18726e+06,-4.05124e+06,-5.37618e+06,7137,1395.58,1852
0,9,sat_9,5.72633e+06,-2.50381e+06,-3.32266e+06,4410.91,3653.68,4848.59
0,10,sat_10,-984749,5.96102e+06,3.68734e+06,-4768.21,-3597.65,4542.62
0,11,sat_11,-1.01623e+06,5.93711e+06,3.71726e+06,-4760.78,-3641.83,4515.12
0,12,sat_12,-3.46423e+06,2.77865e+06,5.51165e+06,-3215.04,-6648.75,1331.16
0,13,sat_13,-4.60367e+06,-1.96338e+06,5.00513e+06,-56.8666,-6967.89,-2785.62
0,14,sat_14,-3.50478e+06,-5.79949e+06,2.04511e+06,3165.25,-3883.09,-5587.22
0,15,sat_15,-673393,-6.7768e+06,-1.92914e+06,4828.68,1123.84,-5633.39
0,16,sat_16,2.49148e+06,-4.40324e+06,-4.95016e+06,4104.69,5575.93,-2893.93
0,17,sat_17,4.42422e+06,148054,-5.52307e+06,1350.65,7270.47,1276.82
0,18,sat_18,4.16887e+06,4.62614e+06,-3.36443e+06,-2071.39,5369.24,4816.11
0,19,sat_19,1.8517e+06,6.81625e+06,458178,-4468.98,812.517,5973.47
0,20,sat_20,-2.33826e+06,-3.5643e+06,5.65052e+06,6144.85,-4304.12,-172.181
0,21,sat_21,-5.09336e+06,-814285,4.84713e+06,3839.88,-5662.17,3083.74
0,22,sat_22,-2.81598e+06,-3.21136e+06,5.64424e+06,5915.36,-4605.81,330.719
0,23,sat_23,1.74441e+06,-5.3112e+06,4.34145e+06,6362.74,-1047.67,-3838.26
0,24,sat_24,5.56917e+06,-4.3559e+06,332449,3007,3387.94,-5982.82
0,25,sat_25,5.84346e+06,-562125,-3.9545e+06,-2350.21,5696.52,-4282.59
0,26,sat_26,2.26225e+06,3.61709e+06,-5.64791e+06,-6176.75,4254.32,250.525
0,27,sat_27,-2.82212e+06,5.40234e+06,-3.59866e+06,-5912.07,-9.63672,4621.86
0,28,sat_28,-6.03467e+06,3.6025e+06,839498,-1723.5,-4268.22,5926.73
0,29,sat_29,-5.24109e+06,-589094,4.72059e+06,3609.52,-5693.45,3297.01
0,30,sat_30,6.24935e+06,2.48849e+06,2.20296e+06,-78.7246,5083.78,-5519.36
0,31,sat_31,3.0136e+06,-3.05404e+06,5.62948e+06,5804.87,4724.55,-544.388
0,32,sat_32,4.14214e+06,-2.00118e+06,5.37941e+06,4961.79,5320.15,-1841.44
0,33,sat_33,6.19333e+06,1.76232e+06,2.93887e+06,888.704,5414.28,-5119.58
0,34,sat_34,4.52094e+06,5.08974e+06,-1.93795e+06,-4575.01,1920.08,-5629.99
0,35,sat_35,-981329,4.3827e+06,-5.47073e+06,-6543.88,-3348.86,-1509
0,36,sat_36,-5.70533e+06,-250150,-4.1817e+06,-2704.9,-5721.46,4032.71
0,37,sat_37,-5.22077e+06,-4.68303e+06,955411,3642.46,-2855.61,5906.97
0,38,sat_38,109313,-4.78105e+06,5.21821e+06,6625.06,2666.79,2304.59
0,39,sat_39,5.34231e+06,-425319,4.62372e+06,3438.67,5709.83,-3447.86
0,40,sat_40,-4.60055e+06,1.78544e+06,-5.07416e+06,188.459,-7021.48,-2641.51
0,41,sat_41,-555982,6.74728e+06,2.06522e+06,-4845.45,1308.33,-5578.9
0,42,sat_42,-5728.13,6.55141e+06,2.67937e+06,-4881.17,2153.98,-5277.2
0,43,sat_43,-2.48189e+06,6.61545e+06,-419525,-4111.21,-1921.4,-5976.66
0,44,sat_44,-4.58634e+06,2.60483e+06,-4.72021e+06,-426.966,-6727.38,-3297.63
0,45,sat_45,-2.48717e+06,-4.40909e+06,-4.94712e+06,4107.63,-5570.73,2899.77
0,46,sat_46,2.61611e+06,-6.54796e+06,616587,4016.59,2165.72,5957.43
0,47,sat_47,4.45798e+06,-338960,5.4874e+06,-1219.51,7263.28,1439.39
0,48,sat_48,355292,6.37193e+06,3.06141e+06,-4866.62,2691.98,-5038.21
0,49,sat_49,-4.24785e+06,4.4076e+06,-3.55372e+06,-1882.43,-5572.06,-4660.79
0,50,service_1,5.63576e+06,4.2052e+06,915068,-3599.57,3629.51,5489.79
100,0,sat_0,7.03839e+06,450774,598197,-794.12,4490.83,5959.54
100,1,sat_1,5.25392e+06,2.85443e+06,3.78796e+06,-5028.6,3352.25,4448.59
